index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
483,111100011,6,1,3,000000011,2,1,uncorrectable
484,111100100,5,0,4,000000100,1,1,corrected
485,111100101,6,1,5,000000101,2,4,uncorrectable
486,111100110,6,1,6,000000110,2,1,uncorrectable
487,111100111,7,0,7,000000111,3,4,uncorrectable
488,111101000,5,0,8,000001000,1,1,corrected
489,111101001,6,1,9,000001001,2,4,uncorrectable
490,111101010,6,1,10,000001010,2,1,uncorrectable
491,111101011,7,0,11,000001011,3,4,uncorrectable
492,111101100,6,1,12,000001100,2,4,uncorrectable
493,111101101,7,0,13,000001101,1,1,corrected
494,111101110,7,0,14,000001110,3,4,uncorrectable
495,111101111,8,1,15,000001111,2,1,uncorrectable
496,111110000,5,0,13,000001101,1,1,corrected
497,111110001,6,1,12,000001100,2,4,uncorrectable
498,111110010,6,1,15,000001111,2,1,uncorrectable
499,111110011,7,0,14,000001110,3,4,uncorrectable
500,111110100,6,1,9,000001001,2,4,uncorrectable
501,111110101,7,0,8,000001000,1,1,corrected
502,111110110,7,0,11,000001011,3,4,uncorrectable
503,111110111,8,1,10,000001010,2,1,uncorrectable
504,111111000,6,1,5,000000101,2,4,uncorrectable
505,111111001,7,0,4,000000100,1,1,corrected
506,111111010,7,0,7,000000111,3,4,uncorrectable
507,111111011,8,1,6,000000110,2,1,uncorrectable
508,111111100,7,0,1,000000001,1,1,corrected
509,111111101,8,1,0,000000000,0,1,exact
510,111111110,8,1,3,000000011,2,1,uncorrectable
511,111111111,9,0,2,000000010,1,1,corrected
