memory_hash,memory_length,memory_record,measure,leaf_count
f2d9e9bdd59b8a98,3,t1:q4:r1|t3:q4:r2|t4:q4:r0,0.0017300086935971922,3
60a55681d1102b41,3,t2:q4:r1|t3:q1:r2|t4:q4:r0,0.0015860216223725467,3
7e7fe739f862bb45,4,t1:q4:r1|t2:q2:r0|t3:q1:r0|t4:q2:r2,0.001522331024096528,1
937f4dff8261ccee,3,t2:q4:r1|t3:q2:r0|t4:q4:r0,0.0014872527948022862,3
7fac6ddf2968441b,3,t1:q4:r1|t2:q2:r0|t4:q4:r0,0.001428618677734842,2
8f950f24f6d4de44,3,t1:q4:r1|t2:q4:r2|t4:q2:r1,0.001428618677734842,2
8c57fd116a9ca18f,4,t1:q2:r2|t2:q2:r0|t3:q4:r0|t4:q2:r2,0.001427528501670053,1
85c3d338c9940eb6,4,t1:q4:r1|t2:q2:r0|t3:q2:r1|t4:q2:r2,0.0014275285016700527,1
3b61feaf8abf752f,4,t1:q4:r1|t2:q2:r0|t3:q1:r0|t4:q3:r0,0.0013373219273066551,1
6580c0306144b838,3,t1:q4:r1|t2:q4:r2|t3:q4:r0,0.0012680942658566713,2
f4c31b92d247ed07,3,t1:q4:r1|t2:q4:r2|t4:q3:r2,0.0012549984551674628,2
5a9ff4bd7305d798,4,t1:q2:r2|t2:q2:r0|t3:q4:r0|t4:q3:r0,0.001254040768348374,1
88dbed354654db2a,4,t1:q4:r1|t2:q2:r0|t3:q2:r1|t4:q3:r0,0.0012540407683483737,1
b032cf2aef3649f4,3,t2:q4:r1|t3:q4:r2|t4:q4:r0,0.0010752544883340807,3
1aa6158d641838e2,4,t1:q2:r2|t2:q4:r2|t3:q1:r0|t4:q2:r2,0.001072768541290115,1
a51f2227934cd1d3,4,t1:q2:r2|t2:q2:r0|t3:q1:r0|t4:q4:r1,0.001072768541290115,1
6ab2ad9c7a86b0db,4,t1:q4:r1|t2:q2:r0|t3:q4:r0|t4:q2:r2,0.0010320750003025578,1
d8b3884adb87db66,3,t1:q2:r2|t2:q4:r2|t4:q4:r0,0.00100673056694944,2
1dbd4f5db9f63168,4,t1:q2:r2|t2:q4:r2|t3:q2:r1|t4:q2:r2,0.0010059623328608866,1
7477231370ae6a6d,4,t1:q2:r2|t2:q2:r0|t3:q2:r1|t4:q4:r1,0.0010059623328608866,1
975d080acb3ca21a,4,t1:q2:r2|t2:q4:r2|t3:q1:r0|t4:q3:r0,0.0009423948342926749,1
dffcc3d667fbc5ec,4,t1:q4:r1|t2:q2:r0|t3:q4:r0|t4:q3:r0,0.0009066467848862,1
cd3c530dc599fbab,4,t1:q2:r2|t2:q4:r2|t3:q2:r1|t4:q3:r0,0.0008837075934768031,1
931f9f4e547cd5d9,4,t1:q4:r1|t2:q4:r2|t3:q1:r0|t4:q2:r2,0.0007755905337660808,1
