branch_i,branch_j,tree_distance,memory_divergence,observation_count_distance,magnitude,real,imag,phase,suppressed
b0.0.0.1.2,b0.2.3.4.1,8,4,0,8.390926814627463e-08,7.980311449804765e-08,-2.59273638701453e-08,-0.31413387811706267,True
b0.0.0.1.2,b0.2.3.4.2,8,5,1,1.411992646071911e-08,1.3342306855958466e-08,-4.621165547517138e-09,-0.3334233081575906,True
b0.0.0.1.2,b0.2.3.4.3,8,5,1,1.3234144386567309e-08,1.2327537130057685e-08,-4.813980260819539e-09,-0.37229541100722463,True
b0.0.0.1.2,b0.2.3.4.4,8,5,1,1.007845905275072e-08,8.666401562541007e-09,-5.144785790949876e-09,-0.5357352949661544,True
b0.0.0.1.2,b0.2.4.0.0,8,4,0,9.790100770928981e-08,9.550700710458003e-08,-2.1517874068321043e-08,-0.22160141684909188,True
b0.0.0.1.2,b0.2.4.0.1,8,4,0,8.716600486349314e-08,8.349414524710103e-08,-2.5032780774786198e-08,-0.2912868810379962,True
b0.0.0.1.2,b0.2.4.0.2,8,5,1,1.466795749429798e-08,1.396620724973671e-08,-4.482636736557409e-09,-0.3105763110785241,True
b0.0.0.1.2,b0.2.4.0.3,8,5,1,1.3747795916331232e-08,1.2916902606770276e-08,-4.70696500988747e-09,-0.34944841392815823,True
b0.0.0.1.2,b0.2.4.0.4,8,5,1,1.0469630235329243e-08,9.122512000223883e-09,-5.137405188447908e-09,-0.512888297887088,True
b0.0.0.1.2,b0.2.4.1.0,8,5,1,1.514718039994988e-08,1.4509106874612987e-08,-4.3500450307650865e-09,-0.2912868810379962,True
b0.0.0.1.2,b0.2.4.1.1,8,5,1,1.3486267723932269e-08,1.2617129679635551e-08,-4.763135077744171e-09,-0.3609723452269005,True
b0.0.0.1.2,b0.2.4.1.2,8,6,2,2.269416867747377e-09,2.1073067608531506e-09,-8.423248395238719e-10,-0.3802617752674285,True
b0.0.0.1.2,b0.2.4.1.3,8,6,2,2.127050065354982e-09,1.9429363723966393e-09,-8.656444035196098e-10,-0.41913387811706254,True
b0.0.0.1.2,b0.2.4.1.4,8,6,2,1.6198543978853615e-09,1.3526584394443723e-09,-8.91203353084167e-10,-0.5825737620759923,True
b0.0.0.1.2,b0.2.4.2.0,8,5,1,1.4667957494297977e-08,1.3966207249736707e-08,-4.482636736557408e-09,-0.3105763110785241,True
b0.0.0.1.2,b0.2.4.2.1,8,5,1,1.30595923801116e-08,1.2126713125170512e-08,-4.847244775590174e-09,-0.3802617752674286,True
b0.0.0.1.2,b0.2.4.2.2,8,6,2,2.1976175944317346e-09,2.0245237172815362e-09,-8.548840912781537e-10,-0.3995512053079565,True
b0.0.0.1.2,b0.2.4.2.3,8,6,2,2.059754959211672e-09,1.8649476887394707e-09,-8.743915657543718e-10,-0.43842330815759045,True
b0.0.0.1.2,b0.2.4.2.4,8,6,2,1.5686058281323923e-09,1.2929737775252454e-09,-8.881120732672232e-10,-0.6018631921165204,True
b0.0.0.1.2,b0.2.4.3.0,8,4,0,6.641204989030781e-08,5.967144550876791e-08,-2.915268360763511e-08,-0.4544484139281581,True
b0.0.0.1.2,b0.2.4.3.1,8,4,0,5.912986187969355e-08,5.119213491051343e-08,-2.959232821552621e-08,-0.5241338781170626,True
b0.0.0.1.2,b0.2.4.3.2,8,5,1,9.950144004572864e-09,8.516762210253176e-09,-5.1449127461737125e-09,-0.5434233081575904,True
b0.0.0.1.2,b0.2.4.3.3,8,5,1,9.325943926831751e-09,7.789051749884542e-09,-5.128733075919487e-09,-0.5822954110072244,True
b0.0.0.1.2,b0.2.4.3.4,8,5,1,7.102170057191179e-09,5.217177381166209e-09,-4.818908558450829e-09,-0.7457352949661542,True
b0.0.0.1.2,b0.2.4.4.0,8,5,1,1.2471907407166313e-08,1.1448718627581636e-08,-4.947253395511011e-09,-0.4078882978870881,True
b0.0.0.1.2,b0.2.4.4.1,8,5,1,1.1104342714614754e-08,9.861907758064611e-09,-5.103841934762753e-09,-0.4775737620759924,True
b0.0.0.1.2,b0.2.4.4.2,8,6,2,1.8685957581188073e-09,1.6426490975273946e-09,-8.907042436477086e-10,-0.4968631921165203,True
b0.0.0.1.2,b0.2.4.4.3,8,6,2,1.7513735735003303e-09,1.50599477504785e-09,-8.940297151011773e-10,-0.5357352949661544,True
b0.0.0.1.2,b0.2.4.4.4,8,6,2,1.3337580678437166e-09,1.0208228022862423e-09,-8.583888337290204e-10,-0.6991751789250842,True
b0.0.0.1.2,b0.3.0.0.0,8,2,2,4.991873484322173e-07,4.940073327879866e-07,-7.17270101599629e-08,-0.1441866386607295,True
b0.0.0.1.2,b0.3.0.0.1,8,2,2,4.44450653362458e-07,4.3432447042592756e-07,-9.43325906755105e-08,-0.21387210284963398,True
b0.0.0.1.2,b0.3.0.0.2,8,3,1,2.033014763764482e-07,1.9780029531998819e-07,-4.697375297087717e-08,-0.2331615328901619,True
b0.0.0.1.2,b0.3.0.0.3,8,3,1,1.9054781197714493e-07,1.8354069615150756e-07,-5.119845217872662e-08,-0.27203363573979583,True
b0.0.0.1.2,b0.3.0.0.4,8,3,1,1.4511163430800546e-07,1.3156842272615925e-07,-6.121385915698309e-08,-0.4354735196987257,True
b0.0.0.1.2,b0.3.0.1.0,8,1,1,2.5576369191920944e-06,2.4993647597678124e-06,-5.428465787358453e-07,-0.21387210284963384,True
b0.0.0.1.2,b0.3.0.1.1,8,1,1,2.2771879202648196e-06,2.1862511645663292e-06,-6.37095494908247e-07,-0.2835575670385383,True
b0.0.0.1.2,b0.3.0.1.2,8,0,0,1.2689720590124955e-05,1.2112227565299157e-05,-3.784567618876497e-06,-0.3028469970790662,True
b0.0.0.1.2,b0.3.0.1.3,8,2,0,9.762910064019682e-07,9.198418361130581e-07,-3.2716223149612754e-07,-0.34171909992870014,True
b0.0.0.1.2,b0.3.0.1.4,8,2,0,7.434941499941739e-07,6.506299059604973e-07,-3.598114458232168e-07,-0.50515898388763,True
b0.0.0.1.2,b0.3.0.2.0,8,3,1,2.033014763764482e-07,1.9780029531998819e-07,-4.69737529708772e-08,-0.23316153289016203,True
b0.0.0.1.2,b0.3.0.2.1,8,3,1,1.8100914273738656e-07,1.7277164715045584e-07,-5.398395776007876e-08,-0.30284699707906637,True
b0.0.0.1.2,b0.3.0.2.2,8,4,0,8.279755171410517e-08,7.853854532198032e-08,-2.6213192643345882e-08,-0.3221364271195943,True
b0.0.0.1.2,b0.3.0.2.3,8,4,0,7.760343209202067e-08,7.260119779034866e-08,-2.741092395136539e-08,-0.36100852996922833,True
b0.0.0.1.2,b0.3.0.2.4,8,4,0,5.909887257133211e-08,5.1156000177670036e-08,-2.9592911060332913e-08,-0.5244484139281581,True
b0.0.0.1.2,b0.3.0.3.0,8,2,2,3.3862833350126075e-07,3.148433615630604e-07,-1.246707902016872e-07,-0.3770336357397957,True
b0.0.0.1.2,b0.3.0.3.1,8,2,2,3.014971924756462e-07,2.7191107154921545e-07,-1.3024947692660526e-07,-0.4467190999287002,True
b0.0.0.1.2,b0.3.0.3.2,8,3,1,1.3791142816403046e-07,1.2320577581245728e-07,-6.196691717919369e-08,-0.4660085299692281,True
b0.0.0.1.2,b0.3.0.3.3,8,3,1,1.2925986250409497e-07,1.1313239627694148e-07,-6.252337936495927e-08,-0.5048806328188621,True
b0.0.0.1.2,b0.3.0.3.4,8,3,1,9.843781308098725e-08,7.726024606299042e-08,-6.099883132039135e-08,-0.6683205167777919,True
b0.0.0.1.2,b0.3.0.4.0,8,3,1,1.728636853558476e-07,1.6350982333708545e-07,-5.6092703510176645e-08,-0.3304735196987257,True
b0.0.0.1.2,b0.3.0.4.1,8,3,1,1.5390890442304788e-07,1.417499580108562e-07,-5.995748714400389e-08,-0.40015898388763016,True
b0.0.0.1.2,b0.3.0.4.2,8,4,0,7.040130835665524e-08,6.429848057358937e-08,-2.8671407608567222e-08,-0.41944841392815807,True
b0.0.0.1.2,b0.3.0.4.3,8,4,0,6.598483939609504e-08,5.917499524988092e-08,-2.9194502347274682e-08,-0.458320516777792,True
b0.0.0.1.2,b0.3.0.4.4,8,4,0,5.0250736468530524e-08,4.084652929485416e-08,-2.9269396307309174e-08,-0.6217604007367219,True
b0.0.0.1.2,b0.3.1.0.0,8,2,2,4.4445065336245813e-07,4.3432447042592766e-07,-9.433259067551059e-08,-0.21387210284963412,True
b0.0.0.1.2,b0.3.1.0.1,8,2,2,3.9571592488213583e-07,3.7991348623981934e-07,-1.1071059650471924e-07,-0.28355756703853846,True
b0.0.0.1.2,b0.3.1.0.2,8,3,1,1.8100914273738656e-07,1.7277164715045584e-07,-5.398395776007876e-08,-0.30284699707906637,True
b0.0.0.1.2,b0.3.1.0.3,8,3,1,1.6965393813767393e-07,1.598445432120643e-07,-5.685227111512961e-08,-0.3417190999287004,True
b0.0.0.1.2,b0.3.1.0.4,8,3,1,1.2919991037682445e-07,1.1306252448554796e-07,-6.252585383930664e-08,-0.5051589838876301,True
b0.0.0.1.2,b0.3.1.1.0,8,1,1,2.27718792026482e-06,2.1862511645663292e-06,-6.370954949082476e-07,-0.28355756703853846,True
b0.0.0.1.2,b0.3.1.1.1,8,1,1,2.0274906048189338e-06,1.9023047113394546e-06,-7.013949941685929e-07,-0.35324303122744277,True
b0.0.0.1.2,b0.3.1.1.2,8,0,0,1.1298272331983794e-05,1.052330778732957e-05,-4.112292657484308e-06,-0.3725324612679707,True
b0.0.0.1.2,b0.3.1.1.3,8,2,0,8.692391284154629e-07,7.967098555199703e-07,-3.476061974214809e-07,-0.4114045641176048,True
b0.0.0.1.2,b0.3.1.1.4,8,2,0,6.619688214733391e-07,5.555751316549601e-07,-3.599152590393679e-07,-0.5748444480765346,True
b0.0.0.1.2,b0.3.1.2.0,8,3,1,1.8100914273738656e-07,1.7277164715045584e-07,-5.398395776007876e-08,-0.30284699707906637,True
b0.0.0.1.2,b0.3.1.2.1,8,3,1,1.6116119931099143e-07,1.5010692377486245e-07,-5.86587043686164e-08,-0.37253246126797085,True
b0.0.0.1.2,b0.3.1.2.2,8,4,0,7.371866709306797e-08,6.81318878265454e-08,-2.8151158753586296e-08,-0.39182189130849876,True
b0.0.0.1.2,b0.3.1.2.3,8,4,0,6.909409103574492e-08,6.278415780559661e-08,-2.8846887955163354e-08,-0.4306939941581327,True
b0.0.0.1.2,b0.3.1.2.4,8,4,0,5.261858620777894e-08,4.3601531518251274e-08,-2.9455425031195947e-08,-0.5941338781170625,True
b0.0.0.1.2,b0.3.1.3.0,8,2,2,3.014971924756462e-07,2.7191107154921545e-07,-1.302494769266053e-07,-0.44671909992870035,True
b0.0.0.1.2,b0.3.1.3.1,8,2,2,2.6843754074216716e-07,2.3343330349339496e-07,-1.3254284627946997e-07,-0.5164045641176048,True
b0.0.0.1.2,b0.3.1.3.2,8,3,1,1.2278921840899986e-07,1.0558824107202168e-07,-6.267627545419163e-08,-0.5356939941581327,True
b0.0.0.1.2,b0.3.1.3.3,8,3,1,1.1508631082882375e-07,9.660669416342449e-08,-6.254602771562076e-08,-0.5745660970077666,True
b0.0.0.1.2,b0.3.1.3.4,8,3,1,8.764394866340859e-08,6.484001275274127e-08,-5.89680802090296e-08,-0.7380059809666967,True
b0.0.0.1.2,b0.3.1.4.0,8,3,1,1.5390890442304788e-07,1.4174995801085617e-07,-5.995748714400392e-08,-0.4001589838876303,True
b0.0.0.1.2,b0.3.1.4.1,8,3,1,1.370325456844229e-07,1.2218352428213672e-07,-6.204115545950087e-08,-0.46984444807653464,True
b0.0.0.1.2,b0.3.1.4.2,8,4,0,6.268169174350786e-08,5.533164578331196e-08,-2.945171395247206e-08,-0.48913387811706255,True
b0.0.0.1.2,b0.3.1.4.3,8,4,0,5.8749495702801263e-08,5.074860149284451e-08,-2.959869409034669e-08,-0.5280059809666966,True
b0.0.0.1.2,b0.3.1.4.4,8,4,0,4.474066244973301e-08,3.446484464427314e-08,-2.8528956519421924e-08,-0.6914458649256264,True
b0.0.0.1.2,b0.3.2.0.0,8,3,1,2.033014763764482e-07,1.9780029531998819e-07,-4.69737529708772e-08,-0.23316153289016203,True
b0.0.0.1.2,b0.3.2.0.1,8,3,1,1.8100914273738656e-07,1.7277164715045584e-07,-5.398395776007876e-08,-0.30284699707906637,True
b0.0.0.1.2,b0.3.2.0.2,8,4,0,8.279755171410517e-08,7.853854532198032e-08,-2.6213192643345882e-08,-0.3221364271195943,True
b0.0.0.1.2,b0.3.2.0.3,8,4,0,7.760343209202067e-08,7.260119779034866e-08,-2.741092395136539e-08,-0.36100852996922833,True
b0.0.0.1.2,b0.3.2.0.4,8,4,0,5.909887257133211e-08,5.1156000177670036e-08,-2.9592911060332913e-08,-0.5244484139281581,True
b0.0.0.1.2,b0.3.2.1.0,8,4,0,8.550266476946558e-08,8.161154737584779e-08,-2.5500216030444958e-08,-0.30284699707906637,True
b0.0.0.1.2,b0.3.2.1.1,8,4,0,7.612716015414062e-08,7.090549012609006e-08,-2.7708409970857617e-08,-0.3725324612679707,True
b0.0.0.1.2,b0.3.2.1.2,8,5,1,1.2810383486672982e-08,1.1839546822342168e-08,-4.8919378693102064e-09,-0.3918218913084986,True
b0.0.0.1.2,b0.3.2.1.3,8,5,1,1.2006752668405443e-08,1.0910250688093567e-08,-5.0128374762418825e-09,-0.4306939941581327,True
b0.0.0.1.2,b0.3.2.1.4,8,5,1,9.143739224112949e-09,7.576810072405398e-09,-5.118585363679869e-09,-0.5941338781170624,True
b0.0.0.1.2,b0.3.2.2.0,8,4,0,8.279755171410517e-08,7.853854532198032e-08,-2.6213192643345882e-08,-0.3221364271195943,True
b0.0.0.1.2,b0.3.2.2.1,8,4,0,7.371866709306797e-08,6.81318878265454e-08,-2.8151158753586296e-08,-0.39182189130849876,True
b0.0.0.1.2,b0.3.2.2.2,8,5,1,1.2405091608257189e-08,1.1371465553142573e-08,-4.95742564068739e-09,-0.41111132134902667,True
b0.0.0.1.2,b0.3.2.2.3,8,5,1,1.1626885871465727e-08,1.0469479519619306e-08,-5.0571210838145106e-09,-0.4499834241986606,True
b0.0.0.1.2,b0.3.2.2.4,8,5,1,8.854451768375167e-09,7.240126867616122e-09,-5.097242299450291e-09,-0.6134233081575905,True
b0.0.0.1.2,b0.3.2.3.0,8,3,1,1.3791142816403046e-07,1.2320577581245728e-07,-6.196691717919372e-08,-0.46600852996922826,True
b0.0.0.1.2,b0.3.2.3.1,8,3,1,1.2278921840899986e-07,1.0558824107202168e-07,-6.267627545419163e-08,-0.5356939941581327,True
b0.0.0.1.2,b0.3.2.3.2,8,4,0,5.616648146830788e-08,4.773640790831575e-08,-2.9595759840569436e-08,-0.5549834241986606,True
b0.0.0.1.2,b0.3.2.3.3,8,4,0,5.264300260379596e-08,4.362996482934132e-08,-2.9456949810421782e-08,-0.5938555270482946,True
b0.0.0.1.2,b0.3.2.3.4,8,4,0,4.009026429352904e-08,2.9133459028323578e-08,-2.7540349601448436e-08,-0.7572954110072243,True
b0.0.0.1.2,b0.3.2.4.0,8,4,0,7.040130835665524e-08,6.429848057358936e-08,-2.8671407608567232e-08,-0.41944841392815824,True
b0.0.0.1.2,b0.3.2.4.1,8,4,0,6.268169174350786e-08,5.533164578331196e-08,-2.945171395247206e-08,-0.48913387811706255,True
b0.0.0.1.2,b0.3.2.4.2,8,5,1,1.0547832169253524e-08,9.213669867639912e-09,-5.1346909391787e-09,-0.5084233081575905,True
b0.0.0.1.2,b0.3.2.4.3,8,5,1,9.886137458400853e-09,8.44211934851438e-09,-5.1445441733778126e-09,-0.5472954110072246,True
b0.0.0.1.2,b0.3.2.4.4,8,5,1,7.528785288566893e-09,5.7059337200522695e-09,-4.911713377601725e-09,-0.7107352949661543,True
b0.0.0.1.2,b0.3.3.0.0,8,2,2,4.033897211211247e-07,3.885556568018434e-07,-1.083871241129075e-07,-0.27203363573979583,True
b0.0.0.1.2,b0.3.3.0.1,8,2,2,3.5915738985586147e-07,3.3839090063538566e-07,-1.2035625889519763e-07,-0.3417190999287003,True
b0.0.0.1.2,b0.3.3.0.2,8,3,1,1.6428646702800833e-07,1.536967369282682e-07,-5.802892646040927e-08,-0.3610085299692282,True
b0.0.0.1.2,b0.3.3.0.3,8,3,1,1.5398032216783676e-07,1.4183242516822495e-07,-5.994583209707467e-08,-0.39988063281886216,True
b0.0.0.1.2,b0.3.3.0.4,8,3,1,1.1726367240432055e-07,9.914486728821527e-08,-6.261840109863866e-08,-0.563320516777792,True
