branch_id,parent_id,shell_q,score,local_probability,measure,amplitude_real,amplitude_imag,amplitude_norm_squared
root.q1.q3.q1,root.q1.q3,1,0.5880910698150733,0.20722610722848347,0.0051761271601351464,0.0717007675983777,0.005926810772968751,0.005176127160135147
root.q1.q3.q2,root.q1.q3,2,1.0095815704905393,0.13595446342481105,0.003395892535388215,0.05798510257557288,0.005798311365260256,0.003395892535388215
root.q1.q3.q3,root.q1.q3,3,0.3741166179844383,0.25666839358650123,0.006411104570557392,0.07957400757999307,0.008892799796273191,0.006411104570557391
root.q1.q3.q4,root.q1.q3,4,0.9814480172999359,0.13983365744799922,0.003492787669941504,0.05869467003815183,0.006908210987946552,0.003492787669941504
root.q1.q4.q0,root.q1.q4,0,0.71,0.20782894051865278,0.009871290180184584,0.09917558247394191,0.005957685887904025,0.009871290180184586
root.q1.q4.q1,root.q1.q4,1,0.9380910698150733,0.1654425939302771,0.007858057923851252,0.08834438453017002,0.007302578026745596,0.00785805792385125
root.q1.q4.q2,root.q1.q4,2,0.3095815704905394,0.31017410519967176,0.014732397668794639,0.12077475834227726,0.012077061569734893,0.014732397668794639
root.q1.q4.q3,root.q1.q4,3,0.7241166179844383,0.20491570962170425,0.009732919905698786,0.09804520871562653,0.010957050406382987,0.009732919905698785
root.q1.q4.q4,root.q1.q4,4,1.3314480172999357,0.11163865072969413,0.005302521939085666,0.07231923274192759,0.00851178681033402,0.005302521939085667
root.q2.q0.q0,root.q2.q0,0,0.71,0.20782894051865278,0.008030632707553628,0.08945254107900845,0.005373602335671581,0.008030632707553628
root.q2.q0.q1,root.q2.q0,1,0.9380910698150733,0.1654425939302771,0.0063927993027503936,0.07968321928798495,0.006586643048875061,0.006392799302750392
root.q2.q0.q2,root.q2.q0,2,0.3095815704905394,0.31017410519967176,0.01198531016920189,0.10893416264793293,0.010893042614236995,0.01198531016920189
root.q2.q0.q3,root.q2.q0,3,0.7241166179844383,0.20491570962170425,0.007918063749316596,0.08843298765135998,0.009882835846608396,0.007918063749316596
root.q2.q0.q4,root.q2.q0,4,1.3314480172999357,0.11163865072969413,0.004313783237982553,0.06522915193716555,0.007677302621411093,0.0043137832379825545
root.q2.q1.q0,root.q2.q1,0,1.06,0.1372061513420035,0.003455411169257944,0.058676968303258206,0.0035248489324190666,0.003455411169257944
root.q2.q1.q1,root.q2.q1,1,0.2380910698150733,0.312121794719303,0.007860501333891334,0.08835811850748812,0.007303713282161279,0.007860501333891334
root.q2.q1.q2,root.q2.q1,2,0.6595815704905393,0.2047731904622643,0.005157025122905544,0.07145606297745195,0.00714536119926522,0.005157025122905544
root.q2.q1.q3,root.q2.q1,3,1.0741166179844381,0.1352828715603552,0.003406975130683039,0.05800818569031078,0.006482709587931729,0.0034069751306830378
root.q2.q1.q4,root.q2.q1,4,0.6314480172999358,0.210615991916074,0.005304170722470729,0.07233047545653158,0.008513110048790106,0.005304170722470729
root.q2.q2.q0,root.q2.q2,0,0.36,0.260317378312205,0.0052533605665915474,0.07234964514203852,0.004346195395130051,0.005253360566591548
root.q2.q2.q1,root.q2.q2,1,0.5880910698150733,0.20722610722848347,0.004181946926250779,0.0644481707251782,0.00532730855395693,0.004181946926250778
root.q2.q2.q2,root.q2.q2,2,1.0095815704905393,0.13595446342481105,0.0027436424784189257,0.052119857506128645,0.0052118069764498474,0.0027436424784189257
root.q2.q2.q3,root.q2.q2,3,0.3741166179844383,0.25666839358650123,0.0051797218698960215,0.07152502542968665,0.007993285130576651,0.00517972186989602
root.q2.q2.q4,root.q2.q2,4,0.9814480172999359,0.13983365744799922,0.0028219269365818904,0.05275765158422656,0.006209439258036688,0.0028219269365818904
root.q2.q3.q0,root.q2.q3,0,0.71,0.20782894051865278,0.006482762296397445,0.08037071820149634,0.004828038128796223,0.006482762296397445
root.q2.q3.q1,root.q2.q3,1,0.9380910698150733,0.1654425939302771,0.005160614337314266,0.07159324358517896,0.005917922800062397,0.005160614337314267
root.q2.q3.q2,root.q2.q3,2,0.3095815704905394,0.31017410519967176,0.009675192441866766,0.09787443467883243,0.009787107752841457,0.009675192441866766
root.q2.q3.q3,root.q2.q3,3,0.7241166179844383,0.20491570962170425,0.006391890527661546,0.07945467668678377,0.008879463962436319,0.006391890527661546
root.q2.q3.q4,root.q2.q3,4,1.3314480172999357,0.11163865072969413,0.0034823198057259467,0.05860665024858378,0.006897851286170301,0.0034823198057259467
root.q2.q4.q0,root.q2.q4,0,1.06,0.1372061513420035,0.0028479074874276744,0.053269759878653275,0.0032000265464987333,0.002847907487427675
root.q2.q4.q1,root.q2.q4,1,0.2380910698150733,0.312121794719303,0.006478528750178169,0.08021572845920402,0.00663066044503969,0.006478528750178168
root.q2.q4.q2,root.q2.q4,2,0.6595815704905393,0.2047731904622643,0.0042503568290338445,0.06487123358197475,0.006486900846067887,0.0042503568290338445
root.q2.q4.q3,root.q2.q4,3,1.0741166179844381,0.1352828715603552,0.0028079870987497532,0.052662607017268145,0.0058853140013539335,0.002807987098749753
root.q2.q4.q4,root.q2.q4,4,0.6314480172999358,0.210615991916074,0.004371632426702795,0.06566506707648546,0.007728608706841076,0.004371632426702795
root.q3.q0.q0,root.q3.q0,0,1.06,0.1372061513420035,0.007845723518273008,0.08841669972843431,0.00531137716650714,0.00784572351827301
root.q3.q0.q1,root.q3.q0,1,0.2380910698150733,0.312121794719303,0.017847751587250795,0.13314139190473803,0.011005514477740544,0.0178477515872508
root.q3.q0.q2,root.q3.q0,2,0.6595815704905393,0.2047731904622643,0.011709342625003371,0.10767272827390847,0.010766903503628312,0.011709342625003373
root.q3.q0.q3,root.q3.q0,3,1.0741166179844381,0.1352828715603552,0.007735746514563572,0.08740895251206549,0.009768394714949415,0.0077357465145635705
root.q3.q0.q4,root.q3.q0,4,0.6314480172999358,0.210615991916074,0.012043445756170501,0.10899032643613811,0.012827879774715554,0.012043445756170501
root.q3.q1.q0,root.q3.q1,0,0.36,0.260317378312205,0.009701636300470568,0.09831964351412972,0.005906267833836935,0.009701636300470568
root.q3.q1.q1,root.q3.q1,1,0.5880910698150733,0.20722610722848347,0.007723004654272067,0.0875819246714657,0.00723955282553942,0.0077230046542720665
