z,a,E_ash,E_matched_LCDM,Delta_H_over_H_matched_LCDM,w_ash,rho_DE_factor_ash
0.1,0.9090909090909091,1.0669247762553873,1.0506541666497484,0.015486170542226499,-0.8617760385284114,1.0502116989172838
0.105,0.9049773755656109,1.0702301233761595,1.053373593242297,0.016002423301668272,-0.8646642493490465,1.0521678741506577
0.11,0.9009009009009008,1.0735347809008158,1.0561106436002174,0.016498401380749747,-0.8675065549097081,1.0540779310445825
0.115,0.8968609865470852,1.0768391292750545,1.0588652921969632,0.016974621050047534,-0.870303835523882,1.0559427007499975
0.12,0.8928571428571428,1.0801435400212012,1.061637512894926,0.0174315874312052,-0.8730569511608396,1.0577630009830243
0.125,0.8888888888888888,1.0834483759159856,1.0644272789576603,0.017869794709650545,-0.8757667419992187,1.0595396361552758
0.13,0.8849557522123894,1.08675399116522,1.0672345630620599,0.018289726343903124,-0.8784340289632443,1.0612733975085291
0.135,0.8810572687224669,1.0900607315754045,1.0700593373104812,0.01869185527149869,-0.8810596142422064,1.062965063253326
0.14,0.8771929824561403,1.0933689347222908,1.0729015732428124,0.01907664411155292,-0.8836442817937816,1.0646153987110771
0.145,0.8733624454148472,1.0966789301164312,1.0757612418484799,0.019444545363995938,-0.8861887978317744,1.0662251564592855
0.15,0.8695652173913044,1.09999103936575,1.0786383135783946,0.019796001605503388,-0.888693911298819,1.0677950764795203
0.155,0.8658008658008658,1.1033055763351647,1.0815327583568295,0.02013144568215815,-0.8911603543245706,1.0693258863077957
0.16,0.8620689655172414,1.1066228473033,1.0844445455932274,0.02045130089887652,-0.8935888426698874,1.070818301187032
0.165,0.8583690987124464,1.1099431511163254,1.0873736441939372,0.020755981205631255,-0.895980076157492,1.0722730242212986
0.17,0.8547008547008548,1.1132667793389546,1.0903200225738718,0.021045891380507994,-0.8983347390895752,1.0736907465315506
0.17500000000000002,0.851063829787234,1.1165940164026482,1.0932836486680888,0.02132142720963371,-0.9006535006527924,1.0750721474126
0.18,0.8474576271186441,1.1199251397510535,1.0962644899432872,0.0215829756640118,-0.9029370153110826,1.0764178944910636
0.185,0.8438818565400843,1.123260419982725,1.0992625134092222,0.02183091507330339,-0.9051859231867266,1.0777286438840679
0.19,0.8403361344537815,1.1266001209911625,1.1022776856300294,0.022065615296594808,-0.907400850430039,1.0790050403584814
0.195,0.8368200836820083,1.1299445001022124,1.1053099727354625,0.022287437890190585,-0.9095824095780846,1.0802477174904834
0.2,0.8333333333333334,1.1332938082088628,1.1083593404320349,0.0224967362724697,-0.9117311999027804,1.081457297825272
0.20500000000000002,0.8298755186721991,1.136648289903486,1.1114257540140708,0.022693855885847884,-0.9138478077487463,1.0826343930367406
0.21,0.8264462809917356,1.1400081836075566,1.1145091783746561,0.022879134355884765,-0.9159328068612399,1.0837796040869612
0.215,0.8230452674897119,1.143373721698896,1.1176095780164927,0.023052901647576073,-0.9179867587045111,1.0848935213853164
0.22,0.819672131147541,1.1467451306364778,1.1207269170626502,0.02321548021887401,-0.9200102127708871,1.0859767249471475
0.225,0.8163265306122448,1.1501226310828396,1.1238611592672165,0.023367185171472776,-0.9220037068809003,1.0870297845517818
0.23,0.8130081300813008,1.1535064380241347,1.1270122680258414,0.02350832439890153,-0.9239677674747457,1.0880532598998232
0.23500000000000001,0.8097165991902834,1.1568967608878744,1.1301802063861777,0.023639198731965592,-0.9259029098953587,1.0890477007695922
0.24,0.8064516129032259,1.1602938036583894,1.1333649370582093,0.023760102081574336,-0.9278096386633801,1.090013647172614
0.245,0.8032128514056224,1.1636977649900613,1.1365664224244745,0.02387132157899878,-0.9296884477442754,1.0909516295080603
0.25,0.8,1.1671088383183528,1.1397846245501762,0.023973137713592434,-0.9315398208078606,1.0918621687160575
0.255,0.7968127490039841,1.170527211968686,1.1430195051931795,0.02406582446802383,-0.9333642314804783,1.0927457764297814
0.26,0.7936507936507936,1.1739530692631996,1.1462710258138977,0.0241496494510507,-0.9351621435900613,1.0936029551262691
0.265,0.7905138339920947,1.1773865886254276,1.1495391475850618,0.024224874027880924,-0.936934011404309,1.0944341982758772
0.27,0.7874015748031495,1.180827943682935,1.1528238314013757,0.024291753448154717,-0.9386802798621979,1.0952399904903303
0.275,0.7843137254901962,1.1842773033679512,1.1561250378890546,0.024350536971588517,-0.9404013847990356,1.096020807669304
0.28,0.78125,1.1877348320160341,1.159442727415246,0.024401467991316855,-0.942097753165263,1.096777117145493
0.28500000000000003,0.7782101167315174,1.1912006894628033,1.1627768600973303,0.024444784154970055,-0.9437698032392011,1.0975093778281204
