omega_ash,alpha_mu,loglike,chi2,aic,bic
0.013000000000000001,0.055,115.98978094917462,1.728503208636182,-215.97956189834923,-197.87812288201872
0.027,0.085,115.98900028224583,1.730064542493773,-215.97800056449165,-197.87656154816113
0.011,0.085,115.9855140359254,1.73703703513464,-215.9710280718508,-197.8695890555203
0.029,0.055,115.97676598208852,1.7545331428083966,-215.95353196417705,-197.85209294784653
0.01,0.08,115.97340736167203,1.7612503836413491,-215.94681472334406,-197.84537570701355
0.03,0.06,115.96506274042827,1.7779396261289035,-215.93012548085653,-197.82868646452602
0.018000000000000002,0.095,115.94858236154553,1.81090038389436,-215.89716472309107,-197.79572570676055
0.019,0.095,115.9464943110357,1.8150764849140384,-215.8929886220714,-197.7915496057409
0.025,0.09,115.93870136997847,1.8306623670285074,-215.87740273995695,-197.77596372362643
0.017,0.095,115.93380547094495,1.8404541650955117,-215.8676109418899,-197.76617192555938
0.015,0.05,115.93340190322687,1.841261300531683,-215.86680380645373,-197.76536479012321
0.022,0.045,115.93328415454468,1.841496797896065,-215.86656830908936,-197.76512929275884
0.021,0.045,115.93146174949248,1.8451416080004397,-215.86292349898497,-197.76148448265445
0.02,0.095,115.92751797674984,1.8530291534857621,-215.85503595349968,-197.75359693716916
0.011,0.06,115.92517674106054,1.8577116248643768,-215.85035348212108,-197.74891446579056
0.01,0.065,115.92163503028019,1.8647950464250407,-215.84327006056037,-197.74183104422985
0.029,0.08,115.91937626150661,1.8693125839722118,-215.83875252301323,-197.7373135066827
0.023,0.045,115.91818960097808,1.8716859050292767,-215.83637920195616,-197.73494018562565
0.03,0.075,115.91343728760256,1.8811905317803053,-215.82687457520512,-197.7254355588746
0.02,0.045,115.91274579314418,1.8825735206970928,-215.82549158628836,-197.72405256995785
0.016,0.095,115.90218694653788,1.9036912139096616,-215.80437389307576,-197.70293487674525
0.012,0.09,115.89645815829172,1.9151487904019775,-215.79291631658344,-197.69147730025293
0.021,0.095,115.89162998059746,1.9248051457905093,-215.78325996119491,-197.6818209448644
0.024,0.045,115.88615464590993,1.9357558151655874,-215.77230929181985,-197.67087027548934
0.028,0.05,115.88456852702748,1.9389280529304869,-215.76913705405497,-197.66769803772445
0.019,0.045,115.8771596573255,1.9537457923344002,-215.754319314651,-197.6528802983205
0.009000000000000001,0.075,115.85986052538658,1.9883440562122552,-215.71972105077316,-197.61828203444264
0.015,0.095,115.85375006032936,2.000564986326694,-215.70750012065872,-197.6060611043282
0.031,0.065,115.84975323984145,2.0085586273025524,-215.6995064796829,-197.59806746335238
0.012,0.055,115.847522001096,2.0130211047934443,-215.695044002192,-197.59360498586148
0.028,0.085,115.84513946299569,2.0177861809940403,-215.69027892599138,-197.58883990966086
0.01,0.085,115.84240841096434,2.023248285056739,-215.68481682192868,-197.58337780559816
0.022,0.095,115.83880690900003,2.0304512889853945,-215.67761381800005,-197.57617480166954
0.009000000000000001,0.07,115.83729976894196,2.0334655691014913,-215.67459953788392,-197.5731605215534
0.025,0.045,115.83715581083365,2.0337534853181185,-215.6743116216673,-197.57287260533678
0.03,0.055,115.83168684778889,2.0446914114076806,-215.66337369557777,-197.56193467924726
0.031,0.07,115.82692893351347,2.054207239958484,-215.65385786702694,-197.55241885069643
0.018000000000000002,0.045,115.8247266784287,2.058611750128015,-215.6494533568574,-197.5480143405269
0.026000000000000002,0.09,115.82343330731291,2.061198492359584,-215.64686661462582,-197.5454275982953
0.014,0.05,115.81920033301739,2.069664440950618,-215.63840066603478,-197.53696164970427
0.009000000000000001,0.08,115.80818827463472,2.0916885577160023,-215.61637654926943,-197.51493753293892
0.031,0.06,115.7973950637292,2.113274979527032,-215.5947901274584,-197.49335111112788
0.014,0.095,115.78851804908817,2.1310290088090706,-215.57703609817634,-197.47559708184582
0.011,0.09,115.7755079974688,2.1570491120478534,-215.5510159949376,-197.44957697860707
0.026000000000000002,0.045,115.77116958155557,2.1657259438743006,-215.54233916311114,-197.44090014678062
0.023,0.095,115.7690253128277,2.170014481330024,-215.5380506256554,-197.43661160932487
0.029,0.05,115.76203471710835,2.18399567276872,-215.5240694342167,-197.42263041788618
0.017,0.045,115.75547015747549,2.1971247920344514,-215.51094031495097,-197.40950129862046
0.01,0.06,115.75494748349135,2.1981701400027447,-215.5098949669827,-197.40845595065218
0.03,0.08,115.74683405884497,2.2143969892954796,-215.49366811768994,-197.39222910135942
0.009000000000000001,0.065,115.74015396933211,2.227757168321177,-215.48030793866423,-197.3788689223337
0.031,0.075,115.72927908154537,2.249506943894679,-215.45855816309074,-197.35711914676023
0.013000000000000001,0.095,115.70651411440986,2.2950368781657104,-215.4130282288197,-197.3115892124892
0.027,0.09,115.69111676359378,2.3258315797978786,-215.38223352718757,-197.28079451085705
0.011,0.055,115.68857038954553,2.330924327894337,-215.37714077909106,-197.27570176276055
0.013000000000000001,0.05,115.68826397267475,2.331537161635957,-215.3765279453495,-197.27508892901898
0.027,0.045,115.6881724081311,2.3317202907232364,-215.3763448162622,-197.27490579993167
0.029,0.085,115.68418707967865,2.3396909476281538,-215.3683741593573,-197.26693514302679
0.009000000000000001,0.085,115.68263157327365,2.3428019604381047,-215.3652631465473,-197.2638241302168
0.024,0.095,115.6822617073361,2.343541692313258,-215.3645234146722,-197.26308439834168
0.008,0.075,115.67256997593185,2.3629251551217334,-215.3451399518637,-197.24370093553318
0.031,0.055,115.66949387268332,2.3690773616187966,-215.33898774536664,-197.23754872903612
0.016,0.045,115.66941336017993,2.3692383866255606,-215.33882672035986,-197.23738770402935
0.032,0.065,115.65945380185224,2.3891575032809294,-215.31890760370447,-197.21746858737396
0.008,0.07,115.64459264643813,2.4188798141091756,-215.28918529287625,-197.18774627654574
0.01,0.09,115.63785944165818,2.43234622366907,-215.27571888331636,-197.17427986698584
0.032,0.07,115.63112843957617,2.4458082278330977,-215.26225687915235,-197.16081786282183
0.008,0.08,115.6263251089162,2.4554148891530234,-215.2526502178324,-197.1512112015019
0.03,0.05,115.62241493591847,2.4632352351484648,-215.24482987183694,-197.14339085550642
0.032,0.06,115.61258562681758,2.482893853350304,-215.22517125363515,-197.12373223730464
0.012,0.095,115.60776142277868,2.492542261428082,-215.21552284555736,-197.11408382922684
0.028,0.045,115.58814070480051,2.5317836973844057,-215.17628140960102,-197.0748423932705
0.025,0.095,115.57849257210228,2.5510799627809013,-215.15698514420455,-197.05554612787404
0.009000000000000001,0.06,115.56806756052305,2.5719299859393385,-215.1361351210461,-197.03469610471558
0.015,0.045,115.56657951701138,2.574906072962679,-215.13315903402275,-197.03172001769224
0.031,0.08,115.55715707690052,2.593750953184408,-215.11431415380105,-197.01287513747053
0.018000000000000002,0.1,115.5540129819868,2.600039143011814,-215.1080259639736,-197.0065869476431
0.019,0.1,115.5464134109746,2.615238285036242,-215.0928268219492,-196.99138780561867
0.017,0.1,115.54474344360938,2.6185782197666714,-215.08948688721875,-196.98804787088824
0.008,0.065,115.54204114580614,2.6239828153731377,-215.08408229161228,-196.98264327528176
0.028,0.09,115.54172811520729,2.6246088765708473,-215.08345623041458,-196.98201721408407
0.012,0.05,115.54061595142815,2.6268332041291043,-215.0812319028563,-196.9797928865258
0.032,0.075,115.52796653944438,2.6521320280966876,-215.05593307888876,-196.95449406255824
0.022,0.04,115.5277346161254,2.6525958747346015,-215.0554692322508,-196.95403021592028
0.02,0.1,115.52192138372024,2.664222339544951,-215.04384276744048,-196.94240375110996
0.021,0.04,115.52050853164897,2.6670480436875006,-215.04101706329794,-196.93957804696743
0.016,0.1,115.51862810732769,2.670808892330075,-215.03725621465537,-196.93581719832486
0.023,0.04,115.5180478694542,2.671969368077065,-215.0360957389084,-196.93465672257787
0.01,0.055,115.51294917792671,2.682166751132001,-215.02589835585343,-196.9244593395229
0.008,0.085,115.50620654125217,2.69565202448111,-215.01241308250434,-196.91097406617382
0.03,0.085,115.50611944099361,2.6958262249981786,-215.01223888198723,-196.9107998656567
0.02,0.04,115.49639301918992,2.715279068605596,-214.99278603837985,-196.89134702204933
0.011,0.095,115.49228310563072,2.723498895724008,-214.98456621126144,-196.88312719493092
0.024,0.04,115.4914248529156,2.7252154011542453,-214.9828497058312,-196.88141068950068
0.032,0.055,115.49016331868489,2.727738469615617,-214.98032663736979,-196.87888762103927
0.009000000000000001,0.09,115.48353554824567,2.7409940104941164,-214.96707109649134,-196.86563208016082
0.021,0.1,115.48051351794092,2.747038071103584,-214.96102703588184,-196.85958801955132
0.015,0.1,115.47569024932275,2.756684608339897,-214.9513804986455,-196.849941482315
0.029,0.045,115.47105084992552,2.765963407134419,-214.94210169985104,-196.84066268352052
0.007,0.075,115.46866243369587,2.7707402395937133,-214.93732486739174,-196.83588585106122
0.031,0.05,115.46568548566356,2.7766941356582895,-214.9313709713271,-196.8299319549966
0.026000000000000002,0.095,115.4576943509615,2.792676405062447,-214.915388701923,-196.8139496855925
0.019,0.04,115.4554114464218,2.7972422141418076,-214.9108228928436,-196.8093838765131
0.033,0.065,115.45198463430935,2.804095838366705,-214.9039692686187,-196.8025302522882
0.025,0.04,115.44784209217156,2.8123809226423404,-214.8956841843431,-196.7942451680126
0.014,0.045,115.44699182325704,2.8140814604713444,-214.89398364651407,-196.79254463018356
0.007,0.07,115.4352726324179,2.8375198421496033,-214.8705452648358,-196.7691062485053
0.007,0.08,115.427840844005,2.8523834189754482,-214.85568168801,-196.7542426716795
0.022,0.1,115.42216639586027,2.863732315264911,-214.84433279172055,-196.74289377539003
0.033,0.07,115.4181540198976,2.8717570671902255,-214.8363080397952,-196.73486902346468
0.014,0.1,115.41595311053402,2.8761588859174063,-214.83190622106804,-196.73046720473752
0.033,0.06,115.41061065123384,2.8868438045177687,-214.82122130246768,-196.71978228613716
0.018000000000000002,0.04,115.39758714559011,2.912890815805209,-214.79517429118022,-196.6937352748497
0.026000000000000002,0.04,115.38727607720227,2.9335129525808807,-214.77455215440455,-196.67311313807403
0.011,0.05,115.37627936350688,2.955506379971639,-214.75255872701376,-196.65111971068325
0.029,0.09,115.37524370261153,2.957577701762382,-214.75048740522305,-196.64904838889254
0.008,0.06,115.3645599699642,2.9789451670570175,-214.7291199399284,-196.6276809235979
0.01,0.095,115.36010225941544,2.9878605881545255,-214.72020451883088,-196.61876550250037
0.032,0.08,115.35032155644575,3.0074219940939533,-214.7006431128915,-196.59920409656098
0.023,0.1,115.34685656414516,3.014351978695111,-214.6937131282903,-196.5922741119598
0.013000000000000001,0.1,115.3394398967221,3.02918531354123,-214.6788797934442,-196.57744077711368
0.03,0.045,115.33687918592454,3.0343067351363686,-214.6737583718491,-196.57231935551857
0.007,0.065,115.32731952685256,3.053426053280296,-214.65463905370513,-196.5532000373746
0.017,0.04,115.32294341357513,3.0621782798351465,-214.64588682715026,-196.54444781081975
0.009000000000000001,0.055,115.32068139476164,3.066702317462139,-214.64136278952327,-196.53992377319275
0.027,0.095,115.31984345194314,3.0683782030991495,-214.6396869038863,-196.53824788755577
0.007,0.085,115.31315629850914,3.0817525099671226,-214.62631259701828,-196.52487358068777
0.008,0.09,115.31255933976024,3.0829464274649485,-214.62511867952048,-196.52367966318997
0.031,0.085,115.31091281958842,3.0862394678085665,-214.62182563917685,-196.52038662284633
0.013000000000000001,0.045,115.3106734390847,3.0867182288160553,-214.6213468781694,-196.51990786183887
0.027,0.04,115.3097032622426,3.088658582500214,-214.6194065244852,-196.5179675081547
0.033,0.075,115.30947587013901,3.0891133667074113,-214.61895174027802,-196.5175127239475
0.033,0.055,115.29367141155933,3.120722283866746,-214.58734282311866,-196.48590380678814
