Omega_ash,chi2
0.0368,185642600.2674812
0.0369,187851961.72661674
0.037,190074304.51179925
0.0371,192309627.08665037
0.0372,194557927.9151312
0.0373,196819205.46149307
0.0374,199093458.19035995
0.0375,201380684.56664538
0.0376,203680883.0555994
0.0377,205994052.12280607
0.0378,208320190.2341569
0.0379,210659295.8558817
0.038,213011367.4545268
0.0381,215376403.49696848
0.0382,217754402.45040536
0.0383,220145362.78235772
0.0384,222549282.9606796
0.0385,224966161.45354408
0.0386,227395996.72943982
0.0387,229838787.25718588
0.0388,232294531.50593272
0.0389,234763227.94514245
0.039,237244875.04461038
0.0391,239739471.27445003
0.0392,242247015.10509807
0.0393,244767505.0073158
0.0394,247300939.4521914
0.0395,249847316.91113538
0.0396,252406635.8558669
0.0397,254978894.75845104
0.0398,257564092.09127086
0.0399,260162226.3270097
0.04,262773295.93870473
0.0401,265397299.39969054
0.0402,268034235.1836313
0.0403,270684101.7645402
0.0404,273346897.6167091
0.0405,276022621.21478117
0.0406,278711271.03371334
0.0407,281412845.5487713
0.0408,284127343.23558414
0.0409,286854762.57004225
0.041,289595102.0284053
0.0411,292348360.0872455
0.0412,295114535.2234366
0.0413,297893625.9142035
0.0414,300685630.63706356
0.0415,303490547.869861
0.0416,306308376.09079003
0.0417,309139113.7783298
0.0418,311982759.41129696
0.0419,314839311.4688264
0.042,317708768.4303758
0.0421,320591128.77571523
0.0422,323486390.9849568
0.0423,326394553.5385047
0.0424,329315614.91710347
0.0425,332249573.60180676
0.0426,335196428.07399434
0.0427,338156176.8153678
0.0428,341128818.30793285
0.0429,344114351.03404975
0.043,347112773.4763503
0.0431,350124084.11783767
0.0432,353148281.4417896
0.0433,356185363.93183047
0.0434,359235330.0719073
0.0435,362298178.34624016
0.0436,365373907.23944056
0.0437,368462515.23638225
0.0438,371564000.8222859
0.0439,374678362.482671
0.044,377805598.703392
0.0441,380945707.9706369
0.0442,384098688.7708639
0.0443,387264539.5908882
0.0444,390443258.9178418
0.0445,393634845.2391574
0.0446,396839297.04260635
0.0447,400056612.8162497
0.0448,403286791.048502
0.0449,406529830.2280716
0.045,409785728.8439728
0.0451,413054485.3855801
0.0452,416336098.3425627
0.0453,419630566.2048781
0.0454,422937887.4628512
0.0455,426258060.6070998
0.0456,429591084.12854517
0.0457,432936956.5184589
0.0458,436295676.2684078
0.0459,439667241.8702712
0.046,443051651.8162596
0.0461,446448904.5988903
0.0462,449858998.7110176
0.0463,453281932.6457684
0.0464,456717704.8966296
0.0465,460166313.95739377
0.0466,463627758.3221526
0.0467,467102036.4853358
0.0468,470589146.9416686
0.0469,474089088.1862156
0.047,477601858.71432865
0.0471,481127457.0217082
0.0472,484665881.6043269
0.0473,488217130.9585316
0.0474,491781203.5809244
0.0475,495358097.96847296
0.0476,498947812.6184151
0.0477,502550346.0283482
0.0478,506165696.69614756
0.0479,509793863.1200289
0.048,513434843.7985026
0.0481,517088637.23041606
0.0482,520755241.9149108
0.0483,524434656.35146207
0.0484,528126879.03982794
0.0485,531831908.4801247
0.0486,535549743.17274183
0.0487,539280381.6184199
0.0488,543023822.3181791
0.0489,546780063.7733774
0.049,550549104.4856784
0.0491,554330942.9570658
0.0492,558125577.689815
0.0493,561933007.1865501
0.0494,565753229.9501748
0.0495,569586244.4839176
0.0496,573432049.2913561
0.0497,577290642.876316
0.0498,581162023.7429893
0.0499,585046190.3958448
0.05,588943141.3396987
