a,z,E2,H_km_s_Mpc,ash_source_E,w_ash,q,t_Gyr_since_a_min,chi_Mpc_from_a_min
0.014465073385216472,68.13203779678128,106131.91803343658,22804.525830717008,1.1217949854820017,-1.0181051931249603,0.5096749299026158,0.02774279756016577,1306.3361318822392
0.014666708663439686,67.18162294944479,101787.48841557509,22332.9060633926,1.122638745682251,-1.0181034368253636,0.5095439134160671,0.02834259692640915,1318.961768165133
0.014871154628089538,66.24427423484249,97621.24652379446,21871.079259300233,1.1234830291617666,-1.0181004186375806,0.5094146065042224,0.028955062126219594,1331.6767770327542
0.01507845045861051,65.31981202212675,93625.86517951735,21418.84075713798,1.1243277770634983,-1.0180961316218846,0.509286986438596,0.02958045950178488,1344.4817682008336
0.015288635880587308,64.40805914998253,89794.31950465326,20975.990216740687,1.1251729300279885,-1.0180905688172694,0.5091610307749193,0.030219060987221973,1357.3773556778228
0.015501751173357715,63.508840892676886,86119.87439602123,20542.33152639943,1.126018428190918,-1.018083723240525,0.5090367172554409,0.03087114422591107,1370.3641577943092
0.015717837177731626,62.621984926574896,82596.07252159728,20117.67271221566,1.1268642111805178,-1.0180755878820271,0.5089140238444543,0.031536992690290394,1383.4427972326237
0.015936935303817755,61.74732129711577,79216.72281669649,19701.825849443823,1.127710218114844,-1.018066155702337,0.5087929287105339,0.032216895804163335,1396.6139010566435
0.016159087538959185,60.88468238624385,75975.88945913115,19294.606975778042,1.128556387598917,-1.0180554196267206,0.5086734102442989,0.03291114906756957,1409.8781007417715
0.01638433645577984,60.033902880286234,72867.88130325946,18895.836006537826,1.1294026577217295,-1.0180433725459108,0.5085554470317675,0.03362005418427548,1423.2360322051252
0.016612725220342923,59.19481973827277,69887.24175370352,18505.336651710695,1.1302489660531163,-1.0180300073089381,0.5084390178454754,0.034343919191937286,1436.6883358359066
0.01684429760042316,58.36727216069123,67028.7390603171,18122.936334809372,1.131095249640493,-1.0180153167217885,0.5083241016800031,0.0350830585949936,1450.2356565259722
0.017079097973894276,57.551101558672414,64287.3570167665,17748.466113502764,1.1319414450054608,-1.0179992935426856,0.5082106777075666,0.03583779350034415,1463.8786437005908
0.017317171337233553,56.74615152359818,61658.28604582801,17381.76060198038,1.1327874881402824,-1.017981930480147,0.5080987252780176,0.03660845175587362,1477.6179513494076
0.017558563314144696,55.95226779712822,59136.91465522595,17022.657895011787,1.1336333145042228,-1.0179632201883124,0.5079882239543707,0.03739536809187904,1491.45423805759
0.017803320164301143,55.16929824163808,56718.82124850706,16670.999493662177,1.1344788590197663,-1.0179431552658575,0.5078791534239855,0.038198884265462876,1505.3881670371827
0.018051488792211086,54.39709281106405,54399.76627611101,16326.630232627429,1.1353240560687001,-1.0179217282498627,0.5077714936051478,0.03901934920795269,1519.4204061586531
0.018303116756206116,53.6355035221488,52175.68471241477,15989.398209151974,1.136168839488077,-1.0178989316133398,0.507665224567134,0.03985711917541129,1533.551627982634
0.01855825227755519,52.88438442608223,50042.678845130846,15659.154713493994,1.1370131425660484,-1.0178747577651388,0.5075603265213289,0.040712557902302,1547.7825097918683
0.018816944249705557,52.14359158053241,47997.01136401329,15335.754160903374,1.1378568980375785,-1.0178491990407887,0.5074567798833982,0.041586036758374655,1562.113733623346
0.019079242247652662,51.41298302206059,46035.09873637093,15019.054025078194,1.1387000380800358,-1.0178222477070777,0.5073545651755893,0.04247793490884061,1576.5459863006513
0.019345196537440462,50.69241873891599,44153.50485741934,14708.914773067208,1.1395424943086674,-1.0177938959522912,0.5072536631066669,0.04338863947790409,1591.0799594664957
0.01961485808579431,49.98176064420425,42348.93496399932,14405.19980158542,1.1403841977719542,-1.0177641358852416,0.5071540545452677,0.04431854571572149,1605.7163496154608
0.019888278569888104,49.280872549424785,40618.22980067691,14107.775374711524,1.1412250789468552,-1.017732959533695,0.507055720431083,0.04526805716885954,1620.4558581269382
0.02016551038724748,48.589620138372126,38958.36002770019,13816.51056293632,1.14206506773394,-1.017700358840994,0.5069586419258485,0.04623758585432533,1635.2991912982666
0.02044660666579117,47.90787094139591,37366.42086072873,13531.27718353189,1.142904093452411,-1.0176663256617564,0.5068628002534723,0.047227552437243435,1650.247060378073
0.020731621274012315,47.235494310014666,35839.62693267654,13251.94974221209,1.1437420848350226,-1.0176308517607175,0.5067681768066166,0.04823838641225608,1665.3001815998155
