tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
23.0,0.01,1.0,1.0,0.9026232274042398,0.814728690649646,0.8356142496083467,0.6982511741485204,0.7936142836436554,0.6298236312032323,0.7733791076948571,0.5981152442188933
24.0,0.01,1.0,1.0,0.8986115686157765,0.8075027512501064,0.8291150276669486,0.6874317291031649,0.7856781408072188,0.6172901409422878,0.7647860064982476,0.5848976357355375
25.0,0.01,1.0,1.0,0.8946177394219286,0.8003408996884017,0.8226663552295389,0.6767799320266539,0.7778213593991467,0.6050060671375365,0.7562883842038226,0.5719721200816288
26.0,0.01,1.0,1.0,0.8906416605800533,0.7932425675607949,0.8162678391333092,0.666293185203362,0.7700431458051551,0.5929664464014993,0.7478851799348913,0.5593322423662448
27.0,0.01,1.0,1.0,0.8866832531996975,0.7862071915047989,0.8099190892733835,0.655968931169427,0.7623427143471035,0.5811664141181095,0.7395753446022815,0.5469716903435834
28.0,0.01,1.0,1.0,0.8827424387410322,0.779234213154465,0.8036197185790349,0.6458046520890472,0.7547192872036326,0.5696012024771592,0.7313578407733672,0.5348842912606819
29.0,0.01,1.0,1.0,0.8788191390132942,0.7723230790960678,0.7973693429900869,0.6357978691404428,0.7471720943315961,0.5582661385478637,0.723231642542552,0.5230640087747978
30.0,0.01,1.0,1.0,0.8749132761732351,0.7654732408241836,0.7911675814334973,0.6259461419113296,0.7397003733882802,0.5471566423907611,0.7151957354031904,0.5115049399389103
31.0,0.01,1.0,1.0,0.8710247727235763,0.7586841546981576,0.7850140558001257,0.6162470678037629,0.7323033696543975,0.5362682252071851,0.7072491161209328,0.5002013122538407
32.0,0.01,1.0,1.0,0.8671535515114714,0.7519552818989581,0.7789083909216803,0.6066982814482011,0.7249803359578534,0.525596487525562,0.699390792608478,0.4891474807855151
33.0,0.01,1.0,1.0,0.863299535726976,0.7452860883864124,0.772850214547845,0.59729745412665,0.7177305325982749,0.5151371174238033,0.6916197838017172,0.478337925345934
34.0,0.01,1.0,1.0,0.8594626489015228,0.7386760448568223,0.766839157323584,0.5880422932047444,0.7105532272722921,0.5048858887870695,0.6839351195372536,0.4677672477364374
35.0,0.01,1.0,1.0,0.8556428149064048,0.7321246267009561,0.7608748527666228,0.5789305415726299,0.7034476949995692,0.4948386596002069,0.6763358404312841,0.45743016905189143
36.0,0.01,1.0,1.0,0.8518399579512652,0.7256313139624133,0.7549569372451046,0.5699599770945089,0.6964132180495735,0.4849913702741627,0.6688209977598255,0.4473215270444485
37.0,0.01,1.0,1.0,0.8480540025825929,0.7191955912963565,0.7490850499554205,0.5611284120667148,0.6894490858690777,0.4753400420057069,0.6613896533402719,0.437436273545565
38.0,0.01,1.0,1.0,0.8442848736822258,0.712816947928612,0.7432588329002117,0.5524336926841847,0.682554595010387,0.46588077516979337,0.6540408794142689,0.42776947194499026
39.0,0.01,1.0,1.0,0.8405324964658604,0.7064948776151315,0.7374779308665433,0.5438736985151981,0.6757290490602831,0.45660974774391444,0.6467737585318881,0.4183162947254651
40.0,0.01,1.0,1.0,0.8367967964815676,0.700228878601814,0.731741991404248,0.5354463419842546,0.6689717585696803,0.4475232137638106,0.6395873834370894,0.40907202105190243
41.0,0.01,1.0,1.0,0.8330776996083162,0.694018453584684,0.7260506648044371,0.5271495678629652,0.6622820409839835,0.43861750180991077,0.6324808569544551,0.4000320344138419
42.0,0.01,1.0,1.0,0.8293751320545014,0.6878631096704216,0.7204036040781805,0.5189813527688318,0.6556592205741436,0.4298890135238935,0.6254532918771835,0.39119182032000527
43.0,0.01,1.0,1.0,0.8256890203564814,0.681762358337246,0.7148004649353502,0.5109397046717928,0.6491026283684022,0.421334222154768,0.6185038108563259,0.38254696404379773
44.0,0.01,1.0,1.0,0.8220192913771193,0.6757157153961413,0.7092409057636307,0.5030226624084153,0.6426116020847181,0.4129496711338881,0.6116315462912556,0.37409314841863234
45.0,0.01,1.0,1.0,0.818365872304332,0.6697227009524302,0.7037245876076914,0.49522829520361533,0.6361854860638709,0.4047319726783237,0.6048356402213528,0.36582615168197374
46.0,0.01,1.0,1.0,0.814728690649646,0.6637828393676867,0.6982511741485204,0.4875547021997874,0.6298236312032323,0.3966778064220251,0.5981152442188934,0.35774184536702647
47.0,0.01,1.0,1.0,0.8111076742467588,0.6578956592219861,0.6928203316829209,0.4800000119932325,0.6235253948912,0.38878391807422685,0.5914695192831279,0.34983619224101437
48.0,0.01,1.0,1.0,0.8075027512501064,0.6520606932764912,0.6874317291031649,0.472562382177767,0.617290140942288,0.3810471181045497,0.5848976357355375,0.34210524428902156
49.0,0.01,1.0,1.0,0.8039138501334393,0.64627747843637,0.6820850378768069,0.465239998895405,0.611117239532865,0.3734642804542691,0.5783987731162539,0.3345451407423877
50.0,0.01,1.0,1.0,0.8003408996884017,0.6405455557140403,0.676779932026654,0.45803107639400237,0.6050060671375364,0.36603234127322914,0.5719721200816289,0.3271521061506733
51.0,0.01,1.0,1.0,0.79678382902312,0.6348644701927444,0.6715160881108911,0.4509338565917541,0.598956006466161,0.35874829768189187,0.5656168743029442,0.3199224484962325
52.0,0.01,1.0,1.0,0.7932425675607949,0.6292337709904423,0.666293185203362,0.44394660864844165,0.5929664464014994,0.3516092065580223,0.5593322423662448,0.3128525573504516
