q,tick,impulse_response
4.0,31.0,0.18000828251137385
4.0,32.0,0.17000782237185308
4.0,33.0,0.16056294335119456
4.0,34.0,0.15164277983168375
4.0,35.0,0.14321818095214575
4.0,36.0,0.13526161534369321
4.0,37.0,0.12774708115793248
4.0,38.0,0.1206500210936029
4.0,39.0,0.1139472421439583
4.0,40.0,0.10761683980262726
4.0,41.0,0.10163812648025908
4.0,42.0,0.09599156389802246
4.0,43.0,0.09065869923702122
4.0,44.0,0.08562210483496448
4.0,45.0,0.08086532123302201
4.0,46.0,0.076372803386743
4.0,47.0,0.07212986986525728
4.0,48.0,0.06812265487274298
4.0,49.0,0.06433806293536837
4.0,50.0,0.060763726105625686
4.0,51.0,0.05738796354420203
4.0,52.0,0.05419974334730192
4.0,53.0,0.051188646494674035
4.0,54.0,0.04834483280052548
4.0,55.0,0.04565900875605183
4.0,56.0,0.0431223971584934
4.0,57.0,0.04072670842746599
4.0,58.0,0.038464113514828986
4.0,59.0,0.036327218319560706
4.0,60.0,0.034309039524029555
4.0,61.0,0.03240298177269458
4.0,62.0,0.030602816118655993
4.0,63.0,0.028902659667619547
4.0,64.0,0.027296956352751794
4.0,65.0,0.025780458777598915
4.0,66.0,0.02434821106773231
4.0,67.0,0.022995532675080515
4.0,68.0,0.021718003082020484
4.0,69.0,0.020511447355241567
4.0,70.0,0.01937192250217259
4.0,71.0,0.018295704585385226
4.0,72.0,0.017279276552863824
4.0,73.0,0.016319316744371388
4.0,74.0,0.015412688036350755
4.0,75.0,0.014556427589886824
4.0,76.0,0.013747737168226444
4.0,77.0,0.012983973992213864
4.0,78.0,0.012262642103757538
4.0,79.0,0.011581384209104342
4.0,80.0,0.01093797397526521
